Order,Family,Genus,ASVs,Sites,CollectionWindows,Samples
Coleoptera,Ptinidae,Ptinus,1,1,1,1
Coleoptera,Scarabaeidae,Nipponoserica,1,11,10,24
Coleoptera,Staphylinidae,Lathrobium,1,2,2,2
Coleoptera,Staphylinidae,Ocypus,1,1,1,1
Diptera,Acroceridae,Ogcodes,1,1,1,1
Diptera,Anthomyiidae,NA,1,2,2,2
Diptera,Anthomyiidae,Lasiomma,1,2,3,3
Diptera,Asilidae,NA,1,1,1,1
Diptera,Bibionidae,Bibio,1,3,4,4
Diptera,Bolitophilidae,Bolitophila,1,2,2,2
Diptera,Cecidomyiidae,Obolodiplosis,1,1,1,1
Diptera,Ceratopogonidae,Allohelea,1,1,1,1
Diptera,Ceratopogonidae,Culicoides,1,1,1,1
Diptera,Ceratopogonidae,Forcipomyia,1,1,1,1
Diptera,Chamaemyiidae,NA,1,1,1,1
Diptera,Chironomidae,Cladotanytarsus,1,1,1,1
Diptera,Chironomidae,Parametriocnemus,1,1,1,1
Diptera,Chironomidae,Paratanytarsus,1,1,1,2
Diptera,Chironomidae,Parochlus,1,1,1,1
Diptera,Chironomidae,Psectrocladius,1,1,1,1
Diptera,Chironomidae,Smittia,1,1,1,1
Diptera,Chloropidae,Parectecephala,1,1,1,1
Diptera,Dolichopodidae,NA,1,1,1,1
Diptera,Dolichopodidae,Condylostylus,1,2,2,3
Diptera,Drosophilidae,NA,1,1,1,1
Diptera,Ephydridae,Paracoenia,1,1,1,1
Diptera,Heleomyzidae,NA,1,1,1,1
Diptera,Hybotidae,NA,1,1,1,1
Diptera,Lauxaniidae,Poecilolycia,1,1,1,1
Diptera,Limoniidae,Atarba,1,1,1,1
Diptera,Limoniidae,Toxorhina,1,1,1,1
Diptera,Lonchaeidae,Lonchaea,1,1,1,1
Diptera,Mycetophilidae,NA,1,1,1,1
Diptera,Mycetophilidae,Boletina,1,1,1,1
Diptera,Mycetophilidae,Brachypeza,1,1,1,1
Diptera,Mycetophilidae,Exechia,1,1,1,1
Diptera,Mycetophilidae,Rondaniella,1,1,1,1
Diptera,Pediciidae,Tricyphona,1,1,1,2
Diptera,Pediciidae,Ula,1,1,1,1
Diptera,Phoridae,NA,1,1,1,1
Diptera,Pipunculidae,Pipunculus,1,1,1,1
Diptera,Pyrgotidae,Sphecomyiella,1,1,1,1
Diptera,Rhagionidae,NA,1,1,1,1
Diptera,Rhagionidae,Rhagio,1,2,3,3
Diptera,Scathophagidae,Scathophaga,1,1,1,1
Diptera,Sciaridae,Hyperlasion,1,1,1,1
Diptera,Simuliidae,NA,1,1,1,1
Diptera,Syrphidae,NA,1,1,1,1
Diptera,Syrphidae,Chrysosyrphus,1,1,1,1
Diptera,Syrphidae,Xylota,1,1,1,1
Diptera,Tabanidae,Hybomitra,1,1,1,1
Diptera,Tachinidae,Panzeria,1,1,1,1
Diptera,Tachinidae,Tachinomyia,1,2,2,4
Diptera,Tachinidae,Uramya,1,2,2,2
Diptera,Tachinidae,Zaira,1,1,1,1
Diptera,Tephritidae,Rhagoletis,1,1,1,2
Diptera,Trichoceridae,NA,1,1,1,1
Diptera,Trichoceridae,Trichocera,1,2,2,3
Ephemeroptera,Baetidae,Centroptilum,1,1,1,1
Ephemeroptera,Baetiscidae,Baetisca,1,1,2,2
Ephemeroptera,Ephemerellidae,Drunella,1,6,8,22
Ephemeroptera,Ephemerellidae,Penelomax,1,1,1,1
Ephemeroptera,Heptageniidae,NA,1,1,2,6
Ephemeroptera,Heptageniidae,Nixe,1,1,1,1
Ephemeroptera,Siphlonuridae,Siphlonurus,1,1,1,1
Hemiptera,Acanthosomatidae,Elasmostethus,1,2,3,3
Hemiptera,Achilidae,Synecdoche,1,1,1,1
Hemiptera,Aphididae,Macrosiphum,1,3,3,6
Hemiptera,Aphididae,Phyllaphis,1,1,1,1
Hemiptera,Aphididae,Prociphilus,1,1,1,1
Hemiptera,Aphididae,Schizaphis,1,2,2,2
Hemiptera,Aphididae,Sitobion,1,1,1,1
Hemiptera,Aphrophoridae,NA,1,1,1,1
Hemiptera,Cicadellidae,Nesophrosyne,1,1,1,1
Hemiptera,Cicadellidae,Tylozygus,1,1,1,2
Hemiptera,Cicadidae,cicadidJanzen01,1,1,1,1
Hemiptera,Cicadidae,Diceroprocta,1,1,1,1
Hemiptera,Clastopteridae,Clastoptera,1,1,1,1
Hemiptera,Corixidae,Sigara,1,1,1,1
Hemiptera,Mesoveliidae,Mesovelia,1,2,3,3
Hemiptera,Pentatomidae,Amaurochrous,1,1,1,1
Hymenoptera,Braconidae,Aleiodes,1,1,1,1
Hymenoptera,Braconidae,Apanteles,1,1,1,1
Hymenoptera,Braconidae,Meteorus,1,1,1,1
Hymenoptera,Braconidae,Microplitis,1,1,1,1
Hymenoptera,Braconidae,Peristenus,1,1,1,1
Hymenoptera,Chrysididae,NA,1,1,1,1
Hymenoptera,Diapriidae,NA,1,1,1,1
Hymenoptera,Formicidae,NA,1,1,1,1
Hymenoptera,Formicidae,Camponotus,1,3,3,3
Hymenoptera,Formicidae,Temnothorax,1,1,1,1
Hymenoptera,Formicidae,Tetramorium,1,9,6,32
Hymenoptera,Ichneumonidae,Campoletis,1,1,1,1
Hymenoptera,Ichneumonidae,Coleocentrus,1,1,1,1
Hymenoptera,Ichneumonidae,Diplazon,1,1,1,1
Hymenoptera,Ichneumonidae,Dusona,1,1,1,2
Hymenoptera,Ichneumonidae,Exochus,1,1,1,1
Hymenoptera,Ichneumonidae,Hyposoter,1,1,1,1
Hymenoptera,Ichneumonidae,Lissonota,1,1,1,1
Hymenoptera,Ichneumonidae,Lophyroplectus,1,1,1,1
Hymenoptera,Ichneumonidae,Phobocampe,1,2,1,2
Hymenoptera,Ichneumonidae,Sinophorus,1,1,1,1
Hymenoptera,Ichneumonidae,Therion,1,1,1,1
Hymenoptera,Pergidae,Acordulecera,1,1,1,1
Hymenoptera,Trigonalidae,Orthogonalys,1,1,1,1
Hymenoptera,Vespidae,Dolichovespula,1,1,1,1
Hymenoptera,Xyelidae,Xyela,1,1,1,1
Lepidoptera,Argyresthiidae,Argyresthia,1,1,1,1
Lepidoptera,Cosmopterigidae,NA,1,1,1,1
Lepidoptera,Cosmopterigidae,Limnaecia,1,1,1,1
Lepidoptera,Cossidae,Acossus,1,1,1,1
Lepidoptera,Crambidae,Agriphila,1,4,3,4
Lepidoptera,Crambidae,Chrysoteuchia,1,5,7,15
Lepidoptera,Crambidae,Eoparargyractis,1,2,5,8
Lepidoptera,Crambidae,Microthyris,1,1,1,1
Lepidoptera,Crambidae,Nascia,1,1,1,1
Lepidoptera,Crambidae,Neodactria,1,1,1,1
Lepidoptera,Crambidae,Parapediasia,1,3,3,3
Lepidoptera,Crambidae,Thaumatopsis,1,1,2,2
Lepidoptera,Depressariidae,NA,1,1,1,1
Lepidoptera,Depressariidae,Bibarrambla,1,1,1,1
Lepidoptera,Drepanidae,Eudeilinia,1,1,1,1
Lepidoptera,Dryadaulidae,Dryadaula,1,2,2,2
Lepidoptera,Elachistidae,Chrysoclista,1,1,1,1
Lepidoptera,Erebidae,Allerastria,1,2,2,4
Lepidoptera,Erebidae,Cosmosoma,1,7,6,10
Lepidoptera,Erebidae,Dyspyralis,1,1,1,1
Lepidoptera,Erebidae,Hypoprepia,1,1,1,1
Lepidoptera,Erebidae,Lycomorpha,1,1,1,1
Lepidoptera,Erebidae,Panopoda,1,1,1,1
Lepidoptera,Erebidae,Panula,1,1,1,1
Lepidoptera,Erebidae,Parallelia,1,1,1,1
Lepidoptera,Erebidae,Polypogon,1,1,1,1
Lepidoptera,Erebidae,Pseudorgyia,1,1,1,1
Lepidoptera,Erebidae,Pyrrharctia,1,1,1,1
Lepidoptera,Erebidae,Virbia,1,1,1,1
Lepidoptera,Erebidae,Zanclognatha,1,1,1,1
Lepidoptera,Euteliidae,NA,1,1,1,1
Lepidoptera,Gelechiidae,Aristotelia,1,1,1,1
Lepidoptera,Gelechiidae,Friseria,1,1,1,1
Lepidoptera,Gelechiidae,Scrobipalpula,1,1,1,1
Lepidoptera,Geometridae,Aponotoreas,1,1,1,1
Lepidoptera,Geometridae,Caripeta,1,3,4,9
Lepidoptera,Geometridae,Ennomos,1,1,1,1
Lepidoptera,Geometridae,Nematocampa,1,1,1,1
Lepidoptera,Geometridae,Plagodis,1,1,1,2
Lepidoptera,Geometridae,Speranza,1,4,4,5
Lepidoptera,Geometridae,Tetracis,1,1,1,1
Lepidoptera,Gracillariidae,NA,1,1,1,1
Lepidoptera,Gracillariidae,Neurobathra,1,1,1,1
Lepidoptera,Limacodidae,NA,1,1,1,1
Lepidoptera,Limacodidae,Lithacodes,1,1,1,1
Lepidoptera,Limacodidae,Phobetron,1,1,1,1
Lepidoptera,Momphidae,Mompha,1,1,1,1
Lepidoptera,Noctuidae,Abagrotis,1,1,1,1
Lepidoptera,Noctuidae,Heliocheilus,1,1,1,2
Lepidoptera,Noctuidae,Leucania,1,1,1,1
Lepidoptera,Noctuidae,Neoligia,1,1,1,1
Lepidoptera,Noctuidae,Prometopus,1,1,1,1
Lepidoptera,Noctuidae,Sunira,1,1,1,1
Lepidoptera,Nolidae,Ariola,1,1,1,1
Lepidoptera,Nolidae,Baileya,1,1,1,1
Lepidoptera,Nolidae,Blenina,1,2,1,2
Lepidoptera,Notodontidae,Gluphisia,1,1,1,1
Lepidoptera,Notodontidae,Hemiceras,1,1,1,1
Lepidoptera,Notodontidae,Symmerista,1,4,5,9
Lepidoptera,Oecophoridae,Eido,1,1,1,1
Lepidoptera,Papilionidae,Parnassius,1,1,1,1
Lepidoptera,Pterophoridae,Emmelina,1,1,1,1
Lepidoptera,Pterophoridae,Hellinsia,1,1,1,1
Lepidoptera,Pyralidae,Aglossa,1,1,1,1
Lepidoptera,Pyralidae,Arta,1,1,1,1
Lepidoptera,Pyralidae,Condylolomia,1,1,1,1
Lepidoptera,Pyralidae,Eulogia,1,1,1,1
Lepidoptera,Pyralidae,Hypsopygia,1,1,1,1
Lepidoptera,Pyralidae,Pococera,1,1,1,1
Lepidoptera,Pyralidae,Vitula,1,1,1,1
Lepidoptera,Saturniidae,Actias,1,4,4,4
Lepidoptera,Saturniidae,Anisota,1,1,1,1
Lepidoptera,Saturniidae,Antherina,1,1,1,1
Lepidoptera,Saturniidae,Dryocampa,1,1,1,1
Lepidoptera,Schreckensteiniidae,Schreckensteinia,1,1,1,1
Lepidoptera,Sphingidae,Clanis,1,1,1,1
Lepidoptera,Stathmopodidae,Stathmopoda,1,2,2,2
Lepidoptera,Thyrididae,Mellea,1,1,1,1
Lepidoptera,Tortricidae,Coelostathma,1,3,3,6
Lepidoptera,Tortricidae,Ecdytolopha,1,2,2,2
Lepidoptera,Tortricidae,Endothenia,1,1,1,1
Lepidoptera,Tortricidae,Epiblema,1,1,1,1
Lepidoptera,Tortricidae,Episimus,1,1,1,1
Lepidoptera,Tortricidae,Eulia,1,1,1,1
Lepidoptera,Tortricidae,Grapholita,1,1,1,1
Lepidoptera,Tortricidae,Hedya,1,1,2,3
Lepidoptera,Tortricidae,Hulda,1,1,1,1
Lepidoptera,Tortricidae,Proteoteras,1,1,1,1
Lepidoptera,Tortricidae,Pseudexentera,1,1,1,1
Lepidoptera,Tortricidae,Rhopobota,1,1,1,1
Lepidoptera,Tortricidae,Taniva,1,1,1,1
Lepidoptera,Tortricidae,Thyraylia,1,1,1,1
Lepidoptera,Tortricidae,Zeiraphera,1,1,1,1
Lepidoptera,Ypsolophidae,Ypsolopha,1,1,1,1
Neuroptera,Sisyridae,Climacia,1,1,1,1
Psocodea,Amphipsocidae,Polypsocus,1,1,1,1
Psocodea,Lachesillidae,Lachesilla,1,2,2,2
Psocodea,Lepidopsocidae,Echmepteryx,1,1,1,2
Psocodea,Mesopsocidae,Mesopsocus,1,4,9,16
Psocodea,Psocidae,Amphigerontia,1,1,1,1
Psocodea,Psocidae,Blaste,1,1,1,1
Psocodea,Psocidae,Ptycta,1,1,1,1
Psocodea,Trogiidae,Lepinotus,1,1,1,1
Trichoptera,Brachycentridae,Micrasema,1,1,1,1
Trichoptera,Leptoceridae,NA,1,1,1,1
Trichoptera,Leptoceridae,Setodes,1,2,5,9
Trichoptera,Limnephilidae,Anabolia,1,1,1,1
Trichoptera,Philopotamidae,Dolophilodes,1,1,2,2
Trichoptera,Polycentropodidae,Plectrocnemia,1,1,1,1
