Order,Family,Genus,ASVs,Sites,CollectionWindows,Samples
Lepidoptera,Erebidae,Cosmosoma,1,3,3,4
Lepidoptera,Erebidae,Damias,1,1,1,1
Lepidoptera,Erebidae,Dyspyralis,1,1,1,1
Lepidoptera,Erebidae,Hyamia,1,1,1,1
Lepidoptera,Erebidae,Hypoprepia,1,1,1,1
Lepidoptera,Erebidae,Panopoda,1,1,1,1
Lepidoptera,Erebidae,Panula,1,1,1,1
Lepidoptera,Erebidae,Parallelia,1,1,1,1
Lepidoptera,Erebidae,Pseudorgyia,1,1,1,1
Lepidoptera,Erebidae,Virbia,1,1,1,1
Lepidoptera,Erebidae,Zanclognatha,1,1,1,1
Lepidoptera,Euteliidae,Eutelia,1,1,1,1
Lepidoptera,Gelechiidae,NA,1,2,2,3
Lepidoptera,Gelechiidae,Aristotelia,1,1,1,1
Lepidoptera,Gelechiidae,Dichomeris,1,2,2,2
Lepidoptera,Gelechiidae,Friseria,1,1,1,1
Lepidoptera,Geometridae,Aponotoreas,1,1,1,1
Lepidoptera,Geometridae,Caripeta,1,3,3,3
Lepidoptera,Geometridae,Euchlaena,1,1,1,1
Lepidoptera,Geometridae,Haematopis,1,1,1,1
Lepidoptera,Geometridae,Hypagyrtis,1,1,1,1
Lepidoptera,Geometridae,Lambdina,1,1,1,1
Lepidoptera,Geometridae,Metarranthis,1,1,1,1
Lepidoptera,Geometridae,Plagodis,1,1,1,1
Lepidoptera,Geometridae,Speranza,1,3,3,3
Lepidoptera,Geometridae,Xanthorhoe,1,1,1,1
Lepidoptera,Gracillariidae,Phyllonorycter,1,1,1,1
Lepidoptera,Hepialidae,Korscheltellus,1,1,1,1
Lepidoptera,Limacodidae,Lithacodes,1,1,1,1
Lepidoptera,Limacodidae,Phobetron,1,1,1,1
Lepidoptera,Noctuidae,NA,1,1,1,1
Lepidoptera,Noctuidae,Abagrotis,1,1,1,1
Lepidoptera,Noctuidae,Heliocheilus,1,1,1,1
Lepidoptera,Noctuidae,Neoligia,1,1,1,1
Lepidoptera,Nolidae,Ariola,1,1,1,1
Lepidoptera,Nolidae,Blenina,1,1,1,1
Lepidoptera,Notodontidae,NA,1,1,1,1
Lepidoptera,Notodontidae,Hemiceras,1,1,1,1
Lepidoptera,Notodontidae,Symmerista,1,4,4,6
Lepidoptera,Oecophoridae,Eido,1,1,1,1
Lepidoptera,Papilionidae,Parnassius,1,1,1,1
Lepidoptera,Pterophoridae,Hellinsia,1,1,1,1
Lepidoptera,Pyralidae,Aglossa,1,1,1,1
Lepidoptera,Pyralidae,Condylolomia,1,1,1,1
Lepidoptera,Pyralidae,Eulogia,1,1,1,1
Lepidoptera,Pyralidae,Hypsopygia,1,1,1,1
Lepidoptera,Pyralidae,Pococera,1,1,1,1
Lepidoptera,Pyralidae,Vitula,1,1,1,1
Lepidoptera,Saturniidae,Actias,1,3,3,3
Lepidoptera,Saturniidae,Dryocampa,1,1,1,1
Lepidoptera,Schreckensteiniidae,Schreckensteinia,1,1,1,1
Lepidoptera,Sphingidae,Sphinx,1,1,1,1
Lepidoptera,Stathmopodidae,Stathmopoda,1,1,1,1
Lepidoptera,Thyrididae,Mellea,1,1,1,1
Lepidoptera,Tineidae,Nemapogon,1,1,1,1
Lepidoptera,Tineidae,Scardiella,1,2,1,2
Lepidoptera,Tineidae,Xylesthia,1,2,2,2
Lepidoptera,Tortricidae,Aethes,1,1,1,1
Lepidoptera,Tortricidae,Coelostathma,1,3,2,5
Lepidoptera,Tortricidae,Ecdytolopha,1,1,1,1
Lepidoptera,Tortricidae,Endothenia,1,1,1,1
Lepidoptera,Tortricidae,Episimus,1,1,1,1
Lepidoptera,Tortricidae,Gypsonoma,1,1,1,1
Lepidoptera,Tortricidae,Hedya,1,1,2,3
Lepidoptera,Tortricidae,Hulda,1,1,1,1
Lepidoptera,Tortricidae,Pseudexentera,1,1,1,1
Lepidoptera,Tortricidae,Rhopobota,1,1,1,1
Lepidoptera,Tortricidae,Thyraylia,1,1,1,1
Lepidoptera,Ypsolophidae,Ypsolopha,1,1,1,1
Neuroptera,Chrysopidae,Chrysopa,1,1,1,1
Neuroptera,Coniopterygidae,Coniopteryx,1,2,2,6
Neuroptera,Hemerobiidae,Micromus,1,2,2,2
Neuroptera,Sisyridae,Climacia,1,1,1,1
Psocodea,Amphipsocidae,Polypsocus,1,1,1,1
Psocodea,Dasydemellidae,Teliapsocus,1,1,1,1
Psocodea,Lachesillidae,Lachesilla,1,1,1,1
Psocodea,Lepidopsocidae,Echmepteryx,1,1,1,1
Psocodea,Mesopsocidae,Mesopsocus,1,4,6,11
Psocodea,Psocidae,Amphigerontia,1,1,1,1
Psocodea,Psocidae,Blaste,1,1,1,1
Psocodea,Psocidae,Ptycta,1,1,1,1
Psocodea,Trogiidae,Lepinotus,1,1,1,1
Trichoptera,Leptoceridae,Setodes,1,2,2,5
Trichoptera,Philopotamidae,Dolophilodes,1,1,2,2
Trichoptera,Philopotamidae,Wormaldia,1,1,1,2
Trichoptera,Polycentropodidae,Plectrocnemia,1,1,1,1
Trichoptera,Psychomyiidae,Psychomyia,1,1,1,1
Trichoptera,Rhyacophilidae,Rhyacophila,1,1,1,1
Trichoptera,Thremmatidae,Neophylax,1,1,1,1
